carId,carType,carModel,carYear
2HNYD18995H476244,Buick,Park Avenue,1997
JTDKDTB38E1801623,Mercury,Lynx,1985
WAULFAFR0DA468413,Chrysler,Sebring,2007
5LMJJ3J58DE501779,Hummer,H3T,2010
WBAKB83579C660604,Mercury,Grand Marquis,1991
1ZVBP8JS6A5234423,Mitsubishi,Truck,1994
5NPDH4AE9DH385384,Toyota,Yaris,2011
3VW217AU1FM340308,Pontiac,Firebird,2002
SCBZK25E73C810281,Audi,Allroad,2003
WAUJC58E32A967821,Lincoln,Town Car,1994
WBAWV53507P266696,Ford,F150,1998
WBAEP33484P297630,Mazda,CX-7,2012
3GYFNGE34DS856773,Dodge,Ram 3500,2010
3D4PG4FB5AT354386,Bentley,Continental Flying Spur,2010
JHMZF1D48ES511362,Chrysler,Concorde,1998
1G4PN5SK1C4609599,Dodge,Viper,2009
19UYA42753A232885,Ford,Windstar,2000
1D7RV1CT1AS698618,Maserati,Quattroporte,2010
WBAAZ33455K553391,Volkswagen,Passat,1993
1D4PT4GX4BW108141,Land Rover,Range Rover,1990
JTEBU5JR2F5266330,Dodge,Neon,2000
1G6D25EY8B0520914,Subaru,Forester,1999
WAUDFBFC6CN818608,Maybach,57,2011
WA1LFBFP8BA093627,Lexus,ES,2004
JM1GJ1T66F1403551,Ford,Econoline E150,1998
1C3BCBGGXCN031539,Chevrolet,Sportvan G30,1994
5TDBK3EH6CS534740,Pontiac,LeMans,1964
1GYFK23269R990734,Mitsubishi,Challenger,2003
WBAFR9C57BD838983,Cadillac,CTS-V,2012
1FTEW1E8XAF590549,Volvo,960,1996
1G6YV36A675927431,GMC,Jimmy,1994
5TDBKRFH4FS499881,Dodge,Viper RT/10,1994
3N1CN7APXEL125314,Buick,LeSabre,1990
1N6AD0CW2EN261940,Toyota,TundraMax,2010
WVGEF9BP1FD946026,BMW,Z4,2003
WAUMF98P46A131972,Mazda,B-Series,1986
1G4HR57Y68U921561,BMW,7 Series,1994
WA1YD54B82N127708,Acura,RSX,2004
1G6DS5EV4A0385726,Pontiac,Grand Prix,1999
2C3CDXJG8DH086539,Saturn,L-Series,2001
YV1902MC1F1135282,Lexus,LS,2002
5UXWX9C55F0546835,Mitsubishi,Galant,1989
1GYS3JEF7DR509386,Hyundai,Azera,2012
WA1AY74L39D176681,Pontiac,Firefly,1995
4A31K5DF0CE254029,Mercury,Mariner,2010
WBADT53431C266954,Mercury,Grand Marquis,1996
1C6RD7MT1CS960954,Panoz,Esperante,2006
TRUUT28N511169694,Pontiac,Gemini,1987
WVWGU7AN5BE067592,Subaru,Outback,2009
1G4GA5ER9DF401271,Dodge,Charger,1970
1G6YX36DX85250678,Cadillac,Escalade,2009
JN1CV6AP1CM964877,Lexus,ES,2003
WBAPM73599E338867,Buick,Park Avenue,2000
JTEBU5JR8B5865310,Hyundai,Santa Fe,2006
2G4GU5GX4E9051576,GMC,Envoy,2002
5TDDW5G18FS525051,Toyota,Land Cruiser,1997
1D4PT5GK5BW151199,Porsche,911,2005
1N6BF0KX8FN410197,Mitsubishi,Outlander,2008
SCBLF34F42C483413,Honda,Pilot,2008
KNADH5A39B6180849,Chevrolet,Camaro,1985
JN8AZ2KRXCT996013,Hyundai,Scoupe,1995
4JGBB2FB6AA357617,Corbin,Sparrow,2004
2HNYD18282H966978,BMW,650,2006
WAUVC68E44A040532,Nissan,Maxima,2011
JN1BJ0HP9FM474900,Land Rover,Range Rover,1998
5FRYD3H64FB958200,Honda,Pilot,2003
1FTEW1CF6FK988339,Pontiac,G5,2007
1G6D25ED7B0165960,Hyundai,Sonata,2001
1GKS1HE04BR837155,Pontiac,Grand Prix,1970
SCBGT3ZA9DC691278,Dodge,Caravan,2009
WBALW7C53CD152263,BMW,6 Series,2004
5N1AZ2MH3FN855966,BMW,X6 M,2013
JM3KE2BE9D0670805,Pontiac,1000,1985
1G6AE5S38D0714140,MINI,Cooper,2002
2C3CDYCJ8DH073045,Honda,Civic,1995
JTDKN3DP6F3199520,GMC,Rally Wagon 2500,1992
5TDBW5G12DS694275,Chevrolet,Metro,2000
WA1LFBFP3DA104665,Volvo,XC70,2005
KMHHT6KD4AU781317,Mazda,Mazda6,2005
5UXFA93585L484541,Lamborghini,Murciélago,2010
WBABS53443J124881,Subaru,Forester,1999
5NPE24AF5FH194045,Acura,MDX,2010
WBAGH03401D834864,Ford,Explorer Sport Trac,2010
WBAKN9C54ED210958,GMC,Yukon XL 1500,2002
5N1AR1NB3CC839441,Plymouth,Breeze,1999
JM1NC2NF1E0119348,Ford,F350,2011
5YMGZ0C5XD0192438,Oldsmobile,LSS,1999
WA1WMAFE6DD482814,Ford,Escort,1996
JM1DE1KY8C0882339,Toyota,Highlander,2005
5N1AR2MM0FC852709,Aptera,Typ-1,2009
5N1AA0NC0EN308490,Audi,TT,2009
WAUCFAFH9BN577143,Pontiac,GTO,1965
2G4GR5EC4B9791299,Chevrolet,Beretta,1995
3D7TP2CTXBG473497,Audi,A8,1998
5UXFF03559L984983,Isuzu,Amigo,1998
1HGCP2E85AA740417,Nissan,370Z,2011
WBAKG1C55CE937139,Jeep,Cherokee,1999
YV1672MK6A2317682,Ford,E250,1984
1GYS3DEF2DR006799,Bentley,Continental Flying Spur,2012
WBAFR9C55CC199235,Ford,Aspire,1997
WBAKE5C50BE532074,Bentley,Continental GTC,2011
SALAB2V61FA186649,Suzuki,Reno,2006
WBXPC93478W361228,Lamborghini,Gallardo,2012
5UXFB93542L546607,Mazda,MX-6,1997
WBAFR9C50DD443322,Nissan,Rogue,2009
WAUKFAFL9BN609640,Subaru,Impreza,2011
WAUVC58E83A406226,Ford,Crown Victoria,2002
WBA3B5C50DP042464,Daewoo,Lanos,2001
3C6TD5PTXCG619534,Cadillac,Escalade ESV,2012
2T1BPRHE8FC361533,Aptera,Typ-1,2008
2V4RW3DG7BR295529,Pontiac,GTO,1973
JTHBE1BL0F1018832,Porsche,Cayenne,2004
4JGCB2FEXBA536047,Chevrolet,Cavalier,2000
19XFB4F2XDE368106,Chevrolet,Suburban 1500,1992
1G6AG1RX6F0013031,Isuzu,Trooper,2000
1FTEW1CW6AK453732,Ford,F-Series,1992
WBA3N7C53EF344406,Hummer,H1,1997
JTDZN3EU2E3938707,Chrysler,Town & Country,2010
JN1AZ4EH2CM999477,Acura,Integra,1993
WAUAVAFD0CN475982,Chevrolet,Silverado 1500,2000
WBA3R1C50EF963384,Pontiac,Firefly,1986
1D7RV1GP6AS580965,Plymouth,Grand Voyager,1994
KMHHT6KDXCU506795,Mitsubishi,GTO,1999
1GD02ZCG8DZ959294,Honda,Fit,2012
WA1LFAFP7CA521456,Toyota,Camry,1993
JTHCL5EF8F5196259,Mercedes-Benz,Sprinter 2500,2012
WAUKFBFL3CN456339,Suzuki,Equator,2009
SAJWA4EC0BM228157,Bentley,Mulsanne,2012
2FMPK4J9XFB982312,Dodge,Viper RT/10,1995
WAUHFAFL0DA231017,Volkswagen,GLI,2009
WAULC58E95A531259,Saturn,Sky,2007
19UUA66247A212576,Mercedes-Benz,S-Class,1998
WAUAC48H64K917139,Nissan,Maxima,2002
1G4GH5E34DF761829,Ford,F250,1992
SALAG2V60FA535463,Cadillac,Seville,2004
5N1AT2ML9FC900362,Mazda,Millenia,1995
5N1AA0NC0BN199296,Suzuki,Sidekick,1991
2HNYD28407H285096,MINI,Cooper,2002
19UUA8F59EA479280,Aston Martin,Vantage,2007
4T1BF1FK2EU420232,Infiniti,Q,2000
1FMEU5DE3AU088929,Nissan,280ZX,1979
WBANF33506C887892,Lincoln,LS,2006
WBAVA33557K596178,BMW,745,2004
JN1AZ4FH7FM630391,Spyker,C8 Spyder Wide Body,2004
WBABS53492J691280,Ford,Expedition EL,2008
1G4HR57Y36U258074,Mitsubishi,Diamante,2000
WBA6A0C51DD791178,Volvo,V70,2009
WAUPL68E55A785591,Lexus,ES,1996
3GYFNJE38DS824034,Chevrolet,Corvette,1964
WAUEG98E06A936562,Dodge,Ram 1500,2008
19UUA9E58CA582971,Volkswagen,Passat,1997
5J8TB4H5XEL692516,Volkswagen,New Beetle,2007
WBALL5C56EE105464,Porsche,Cayman,2007
WBA1F5C5XEV751752,Kia,Optima,2001
1FTEW1C82AK151002,Mitsubishi,Mirage,1988
WBXPC93557W182483,Toyota,Corolla,1993
JN1BJ0HR9FM305848,Buick,Roadmaster,1996
WBA3V5C56FP831731,Dodge,Ram,2011
WBA3D3C56EF711388,Ford,E150,2006
5N1AR2MM3DC603480,Dodge,Grand Caravan,2010
WAUMR94E99N284310,Lincoln,LS,2002
WBAKX6C52CC608908,Volkswagen,Passat,1999
3D7LP2ET7AG616692,Lexus,LX,2009
3D73Y4EL9BG769925,Subaru,Legacy,2005
JTEBU5JR4B5906810,Pontiac,Trans Sport,1999
1G6DG5E54C0580245,Toyota,Camry,2012
JTEBU4BF3BK955593,Hyundai,Equus,2013
JTHBE1D22F5729025,Mitsubishi,Montero,2002
1D7RV1GP2AS468664,Chevrolet,Corvette,1999
1G6AB5RA8F0739815,BMW,745,2004
WP0AA2A92AS272193,Kia,Sorento,2006
1G4GJ5G35DF277265,Cadillac,Eldorado,1999
5FRYD4H84EB537289,Pontiac,Grand Prix,1963
5N1AA0NCXEN641442,Volkswagen,Jetta,2010
WAUMR44E45N264592,Bentley,Arnage,2009
JA32X8HW8EU671197,Nissan,Altima,2001
3D7JB1ET9BG213749,Aston Martin,DBS,2009
ZFBCFAAH7EZ164616,Mercury,Grand Marquis,1994
SAJWA4EC0DM423694,GMC,Sierra 1500,1999
1FT7W2A6XEE088929,Mitsubishi,Pajero,1990
WAUJC58E93A296088,Nissan,Maxima,2001
2T1BURHE7FC617718,Jaguar,XK Series,1999
1D7RV1CP6BS509238,Saab,9000,1995
TRUUT28N431662804,Chrysler,Imperial,1993
19UYA42583A378180,Lexus,IS,2003
3LN6L2LU4FR486733,Pontiac,Bonneville,2002
WBA3D3C55FK784406,Oldsmobile,Cutlass,1997
3D73Y3CL1AG246989,Kia,Spectra5,2006
JM1NC2EF8A0234717,Buick,LeSabre,1989
1G4HP52K544479438,Ford,Taurus,1989
SCBDU3ZAXCC418008,Cadillac,Escalade ESV,2008
5YMGZ0C53E0781462,Dodge,Caravan,2001
5FNRL5H28BB959863,Ford,Focus,2003
2G4GL5EX9F9502671,Buick,LeSabre,1995
1G6AB5RXXE0411430,Ford,Escort,1989
5TDDK3DC9FS152253,Nissan,Titan,2012
JN1AY1AP6CM642138,Isuzu,Ascender,2009
WA1DGAFP2DA758634,Aston Martin,Vantage,2008
1LNHL9DR6CG615960,Oldsmobile,Intrigue,2002
KNDKG3A2XA7288141,Fiat,Nuova 500,2012
3VW4A7AT6DM335893,Honda,Accord,1995
1C4NJCBA2FD498181,BMW,X3,2006
WP0AA2A82CS614185,Nissan,Maxima,2005
3C6JD6CT9CG555778,Audi,A6,1995
1N6BF0KX7FN002676,Dodge,Ram 3500,2008
WA1VMAFEXDD547191,Mercedes-Benz,CLK-Class,2003
3FA6P0LU6FR786650,Kia,Sorento,2006
1FMCU0F75DU082577,Mitsubishi,Montero Sport,2004
WP1AE2A25EL791256,Chevrolet,Cobalt SS,2007
WAUDF58E85A141300,Audi,100,1989
3GYFNEEY0AS905589,Toyota,T100,1998
2D4RN5DG2BR633690,Mitsubishi,Starion,1984
WAUSH78E87A809791,Audi,4000s,1985
5N1BA0NE6FN303589,Lamborghini,Gallardo,2006
WAUUL98E88A685624,Dodge,Ram 3500,1996
WBA3B1C59DK015334,Dodge,Ram Van B250,1993
1G6DM1E32C0903952,Jeep,Liberty,2003
1GD022CG5CZ304709,Ford,Laser,1988
WBSWL93529P641113,Hummer,H2,2006
WBAWV53527P671684,Pontiac,G3,2010
JN1BJ0HR6DM033725,Nissan,Maxima,1993
1G6DJ8E34D0983127,Chevrolet,Venture,2002
1GYS4NKJ4FR683206,Ford,Econoline E150,1992
SCFAD01A25G082040,Volkswagen,Passat,1991
WBAHN83556D950850,Jeep,Liberty,2002
WAURFAFR3EA609230,MINI,MINI,2002
JH4DC54822C748996,GMC,Savana 3500,2004
1G4GH5E31CF424503,GMC,Sonoma Club Coupe,1998
1GYEE637290910520,Mercury,Cougar,1994
JTEBU5JR0B5850722,Toyota,Sienna,1998
5FRYD3H63EB636954,Jaguar,XJ Series,1999
1G4HR54K04U389637,Ford,Windstar,1996
3VWJX7AJ8AM860305,Pontiac,Bonneville,1966
5N1AR1NB7CC794813,Cadillac,Escalade,2004
3GYFNFE33ES282811,BMW,8 Series,1993
WBAPH7G5XBN654119,Chevrolet,Lumina,1998
WBAPH5C55BA739595,Acura,Integra,1994
JTEBU4BF6EK949257,Panoz,Esperante,2007
WAULT64B42N854981,Mitsubishi,Pajero,1996
3VW467ATXDM416168,GMC,Savana 3500,2009
WA1DMAFP3EA313023,Lexus,IS,2009
3D7LT2ET5AG457313,Hyundai,Elantra,2001
1G6DM5EY3B0880022,GMC,Yukon,1993
3VWKP7AJ7DM008312,Ford,Thunderbird,1997
3GYFNFEY5BS708473,Audi,5000S,1987
3D73Y4EL6BG535712,Buick,Estate,1989
JH4KB16318C146118,Pontiac,LeMans,1993
1G6AM5S37E0919954,Subaru,Brat,1986
5NPDH4AE5BH715261,Saab,900,1994
WAUNF78P56A199125,Ford,Econoline E250,1997
WBAUP73589V821048,Mazda,MX-5,2004
JTHKD5BH7B2531778,Lexus,LX,1996
WAUNF78P16A117147,Chrysler,New Yorker,1995
WBAUP9C55BV248448,Ford,Fiesta,2012
2HNYD18872H319086,Chevrolet,Malibu,2006
WBA3A5G51CN696509,Ford,Edge,2007
SCBEC9ZA6EC374487,Chevrolet,Avalanche 1500,2006
WP0CB2A85FS086507,GMC,Sierra 1500,2008
1B3BD2FB2BN134338,Toyota,4Runner,2007
WDDHF0EB8EB970658,Lincoln,Town Car,1987
YV1612FH3D1764273,Honda,Odyssey,2012
3VWKX7AJXCM225108,Chevrolet,Suburban 2500,2005
1GYS3CKJ5FR611213,Nissan,Altima,2000
5N1AN0NU3EN753142,GMC,Savana 3500,2002
1G6DT57V990557397,Mitsubishi,Outlander Sport,2011
2T1KE4EE4BC900172,Cadillac,Seville,2004
WBAWL7C58AP443570,Toyota,Tacoma,1995
WBAVB73527F810847,Porsche,911,2004
1G4HP52K754828150,Oldsmobile,Ciera,1993
1GD21ZCG5CZ696272,Ferrari,599 GTB Fiorano,2007
19UUA9E50CA677234,MINI,Cooper,2011
1GD120EG4BF389872,Aston Martin,V8 Vantage,2011
WVGAV7AXXCW048497,Mitsubishi,Eclipse,2003
19XFB4F26FE186924,Acura,RL,2000
WAUEFAFL9DA858706,Ford,Th!nk,2002
WBSWD9C51AP417929,Mercury,Grand Marquis,1995
1FTFW1E82AK669323,Subaru,Legacy,2000
WAUSG78E56A636975,Lexus,HS,2010
SALVP2BG3FH848044,Mazda,RX-7,1995
JH4NA12694T084655,Honda,Accord,2008
3VWJP7AT7CM987339,Mazda,Mazda6,2006
5N1AR1NB3CC185038,Lexus,GS,2005
5UXFF03599L191816,Lexus,LS,2010
1G6DB1ED5B0614318,Ford,Explorer,1995
WBAYA6C52DC480294,Dodge,Neon,1997
1FMJK1F54DE858144,Aptera,2e,2009
1G4GA5EC9BF251462,Nissan,Pathfinder,1999
SCBCC41NX9C403973,Land Rover,Range Rover,1986
KMHHT6KD0BU825962,Mitsubishi,Mirage,2000
SCBZB25E12C261403,Pontiac,Grand Prix,1973
3D73Y4CL3AG909050,Toyota,Sienna,2005
1FTWX3A57AE212722,BMW,3 Series,2011
WBA5B3C5XFD176836,Acura,Integra,1999
WAU4GAFBXAN036212,Chevrolet,Cobalt,2005
1G6DH8EY3B0802412,Nissan,200SX,1995
WBAKB8C51AC048435,Lotus,Exige,2007
WBAWL7C54AP723342,Mercury,Lynx,1987
WBAUU3C50AA558163,Volkswagen,GLI,2008
WAUEFAFL7CN494194,Chrysler,Crossfire,2005
3D7TP2CT4BG649900,Mercedes-Benz,S-Class,1999
WAUEF98E17A549538,Suzuki,Equator,2011
1N6AA0CC2AN871345,Lexus,ES,1992
WBAYA8C55FD528136,Pontiac,G6,2009
1GD22ZCG3CZ112013,Honda,Accord,2001
1FTWX3A50AE145266,Chevrolet,Impala,2000
JN8AF5MR7DT429122,Nissan,Pathfinder,1995
WAUGFAFR3AA645968,Acura,SLX,1999
WBAPH77509N990260,Acura,MDX,2010
3VW4A7AT0DM678084,GMC,Vandura 3500,1993
2G4WS52J221376533,Nissan,Frontier,2003
1FTMF1C87AK840156,Ford,Bronco,1992
JM1GJ1T61E1867328,Volkswagen,Jetta,2007
WAUDL64FX5N439885,Saab,900,1992
1GD02ZCG4DZ636909,Toyota,Land Cruiser,2006
WAUMFAFRXFA953410,Chevrolet,Suburban 1500,2009
3C3CFFAR4FT595804,Mercury,Mountaineer,2008
WBALL5C52FP929774,Dodge,Viper,2005
JM1NC2JF3E0577446,Chevrolet,S10,1997
WA1CMBFP0EA103514,Honda,Odyssey,2006
1GTN1TEX2CZ087216,Toyota,Highlander Hybrid,2007
1G6AP5SX1E0984289,Ford,E250,2005
2C3CDXGJ4DH866539,Mercedes-Benz,S-Class,2001
5J6TF2H55DL402618,Chevrolet,Avalanche 1500,2004
1G6DK8EY4B0129485,Mazda,Mazdaspeed 3,2007
WAUKF98E45A463141,Mercedes-Benz,S-Class,1996
3GYFK22269G321154,Mazda,MX-5,2008
JH4DC54802C677801,Ford,Explorer,1994
5UXFB33532L526488,Chevrolet,Silverado 3500,2007
WP0AA2A95CS086439,Mitsubishi,Truck,1991
KNAGM4ADXC5446625,Mercury,Mountaineer,2010
WBAWL13517P225928,Plymouth,Neon,1999
